Финансирование,Результативность НИР,Квалификация исполнителей,Новизна результатов,Готовность результатов,Новые дисциплины,Учебная продукция
54385.28,436.799,4,3,Есть опытные образцы,Гуманитарные,Литература и оборудование
69980.898,519.812,4,3,Частичная,Гуманитарные,Лабораторное оборудование
18415.084,394.903,4,2,Частичная,Технические,Лабораторное оборудование
35404.979,431.459,3,3,Частичная,Гуманитарные,Лабораторное оборудование
33734.671,423.466,4,4,Частичная,Гуманитарные,Лабораторное оборудование
36476.714,288.11,2,4,Отсутствует,Гуманитарные,Лабораторное оборудование
66729.021,471.878,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
27611.009,319.895,2,2,Малая,Гуманитарные,Лабораторное оборудование
40939.381,391.287,3,3,Частичная,Гуманитарные,Лабораторное оборудование
63252.305,401.732,3,4,Частичная,Гуманитарные,Лабораторное оборудование
16012.709,338.74,3,1,Малая,Технические,Литература
12225.618,261.457,2,3,Отсутствует,Технические,Лабораторное оборудование
6553.203,326.948,2,1,Отсутствует,Технические,Литература
54877.281,420.185,3,2,Частичная,Гуманитарные,Лабораторное оборудование
47242.325,306.771,2,3,Малая,Технические,Литература
57692.421,465.793,4,3,Частичная,Технические,Лабораторное оборудование
34132.56,461.804,3,3,Частичная,Технические,Лабораторное оборудование
50108.903,589.153,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
41629.592,443.529,3,3,Частичная,Гуманитарные,Лабораторное оборудование
64953.835,244.472,2,2,Отсутствует,Технические,Отсутствует
20449.396,276.133,2,2,Малая,Технические,Литература
25921.36,431.685,4,3,Частичная,Гуманитарные,Литература и оборудование
7732.387,370.073,3,1,Частичная,Гуманитарные,Лабораторное оборудование
60368.881,383.12,4,2,Частичная,Технические,Лабораторное оборудование
11680.841,265.922,2,3,Малая,Гуманитарные,Литература
50162.433,392.137,4,4,Частичная,Гуманитарные,Лабораторное оборудование
25533.969,336.849,3,3,Малая,Технические,Литература
11370.201,293.348,2,3,Малая,Гуманитарные,Лабораторное оборудование
40654.021,484.645,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
22470.573,315.655,2,2,Малая,Технические,Литература
68538.798,481.778,2,2,Малая,Гуманитарные,Литература
69412.185,371.105,4,4,Частичная,Гуманитарные,Литература и оборудование
29139.848,346.344,4,3,Частичная,Гуманитарные,Лабораторное оборудование
26409.309,365.256,3,2,Частичная,Технические,Лабораторное оборудование
4829.065,321.958,3,3,Малая,Технические,Литература
48933.85,422.257,3,4,Малая,Технические,Лабораторное оборудование
45939.533,496.216,4,3,Частичная,Гуманитарные,Лабораторное оборудование
30452.709,199.271,2,2,Малая,Технические,Лабораторное оборудование
54777.507,313.256,3,3,Малая,Гуманитарные,Лабораторное оборудование
4278.23,238.879,2,3,Отсутствует,Технические,Лабораторное оборудование
53904.409,426.807,3,3,Малая,Технические,Литература
49091.294,381.903,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
12939.568,258.006,2,2,Малая,Технические,Лабораторное оборудование
18453.092,351.62,4,3,Есть опытные образцы,Технические,Лабораторное оборудование
22961.168,294.768,3,1,Малая,Гуманитарные,Лабораторное оборудование
35085.273,338.198,3,3,Частичная,Гуманитарные,Лабораторное оборудование
50601.241,527.146,3,3,Частичная,Гуманитарные,Лабораторное оборудование
7995.928,293.504,3,3,Малая,Гуманитарные,Литература
47386.407,439.074,4,3,Частичная,Технические,Лабораторное оборудование
